# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Sep 28 07:45:54 EAT 2024 [seed=876754398712]
# -seed 876754398712 ../../beast_run/kenya_continous.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
3700000	-553.8336497761355	-265.9779584970755	-287.85569127906	0.3824667886710545	0.24516314175148976	0.24516314175148976	0.2745289221824978	-0.7565963833908907	6.1151520425156995	-5.461027111870431	-5.461027111870432	8.519476000351736	550.9067740815352	-287.85569127906
3750000	-592.5380483893907	-289.9849036591625	-302.55314473022815	0.30681368682209675	0.2007519184561209	0.2007519184561209	0.2107120953883843	-0.789546307144461	8.654177111118003	-8.245101708631017	-8.245101708631013	12.601174987033458	556.4818946477127	-302.55314473022815
3800000	-622.9016474737904	-301.9542596473704	-320.94738782641997	0.3331558073679694	0.20700853252209508	0.20700853252209508	0.1915169334329194	-0.819522653652717	9.140552516720218	-9.879921994418039	-9.879921994418039	15.900568680334834	555.9953979842938	-320.94738782641997
3850000	-585.6079880455427	-286.70582191647867	-298.902166129064	0.2711326628623582	0.16175276282471965	0.16175276282471965	0.17578611763888513	-0.7409151930337118	8.177086633667804	-7.524293571179425	-7.524293571179426	12.612345634693714	560.2012728360379	-298.902166129064
3900000	-564.1540720170519	-266.6478854830822	-297.5061865339698	0.3874717547741102	0.27415960625755814	0.27415960625755814	0.2633302448790842	-0.8582880609769685	9.800324892066593	-10.203359719803057	-10.203359719803057	14.420482102346805	565.9681655904977	-297.5061865339698
3950000	-577.3986672116162	-261.7380098712664	-315.6606573403497	0.3521911022883973	0.2230438988201184	0.2230438988201184	0.20511009130160096	-0.8298653740096209	9.120313570133725	-9.917748484414922	-9.917748484414924	15.66033767084649	561.7404914121166	-315.6606573403497
4000000	-572.2307556655165	-248.62001104875426	-323.6107446167623	0.32303668334617025	0.22703302257476177	0.22703302257476177	0.2226689508426303	-0.8465123106624003	10.922508762535113	-11.136578176138386	-11.136578176138388	15.845815014247211	574.6177521301837	-323.6107446167623
4050000	-606.5069498948759	-288.59060881950285	-317.91634107537305	0.40528876282543796	0.28385510682945625	0.28385510682945625	0.26831049184727174	-0.8607868089425993	9.524856256265782	-10.076680459057608	-10.076680459057606	14.387500025118172	560.3046483868925	-317.91634107537305
4100000	-626.4497705485517	-311.58416259271104	-314.8656079558406	0.2336875430637059	0.15575056810619936	0.15575056810619936	0.17930673047382892	-0.7608754338275538	10.162758553301696	-8.827640847725485	-8.827640847725483	13.244957792687934	555.4608413386445	-314.8656079558406
4150000	-593.8008183592897	-274.2352815418062	-319.56553681748346	0.29775806622334666	0.205025606357835	0.205025606357835	0.21405293454515137	-0.8121116568078668	9.863968434921818	-9.447971894250305	-9.447971894250305	13.721260924133315	568.3887290819971	-319.56553681748346
