# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 19 12:45:00 EAT 2025 [seed=1739958299565]
# ../beast_run/FY.4_may.xml
state	location.rates.Kenya.Others	location.rates.Others.Kenya	location.indicators.Kenya.Others	location.indicators.Others.Kenya	location.nonZeroRates
180000	1.8090447944624624	0.004597037017816855	1.0	1.0	2.0
181000	1.4118605332456902	0.00415832086487756	1.0	1.0	2.0
182000	1.935878578687924	0.01429490821533391	1.0	1.0	2.0
183000	0.3232437491341035	0.005931515408473942	1.0	1.0	2.0
184000	1.6215114116731792	0.0031405331617936315	1.0	1.0	2.0
185000	2.0931592288878704	0.005350131362862284	1.0	1.0	2.0
186000	1.7018737579667271	0.0016404871739260356	1.0	1.0	2.0
187000	1.696652696675692	0.009392494205323057	1.0	1.0	2.0
188000	0.9788457685314624	0.004874383319181905	1.0	1.0	2.0
189000	3.503037442506279	0.005294178510961892	1.0	1.0	2.0
190000	0.6223302373604829	0.001388297425977266	1.0	1.0	2.0
191000	2.799680441738913	0.029469436026242843	1.0	1.0	2.0
192000	2.094864106826242	0.046508014574001506	1.0	1.0	2.0
193000	0.82693125793828	0.023231158749723424	1.0	1.0	2.0
194000	1.653033233120965	0.009546784176258993	1.0	1.0	2.0
195000	0.7173722129249979	0.0013195151623147374	1.0	1.0	2.0
196000	1.8758162777082268	0.008228837152984064	1.0	1.0	2.0
197000	1.3522914488076467	0.01675870746425501	1.0	1.0	2.0
198000	3.050220974434057	0.05241693303521801	1.0	1.0	2.0
199000	0.5930412784046106	0.021384907981154475	1.0	1.0	2.0
200000	1.058977391496709	0.004909416319925912	1.0	1.0	2.0
201000	1.6792437075786553	0.006216558578838311	1.0	1.0	2.0
202000	2.010919681279852	0.03125159714893991	1.0	1.0	2.0
203000	1.0980806003761547	0.010503478753843415	1.0	1.0	2.0
204000	1.0480333804627964	0.007666696453723417	1.0	1.0	2.0
205000	1.2800022548993717	0.007580682513424782	1.0	1.0	2.0
206000	0.1732502255823923	0.001330344772665362	1.0	1.0	2.0
207000	2.389701258766875	0.0568135614590609	1.0	1.0	2.0
208000	2.8784119181987693	0.011159596328944558	1.0	1.0	2.0
209000	0.9678062521722982	0.022546653139884437	1.0	1.0	2.0
210000	0.5949932909932037	0.0015995240818331483	1.0	1.0	2.0
211000	0.4650813528967138	0.0013521201061841629	1.0	1.0	2.0
212000	0.989644370448652	0.006731640891710955	1.0	1.0	2.0
213000	2.6000208148481696	0.03897106825446605	1.0	1.0	2.0
214000	2.5055027056609145	0.0022662967799154687	1.0	1.0	2.0
215000	3.5833503152908306	0.028971497404948608	1.0	1.0	2.0
216000	0.9483011487802475	0.0074420371964976795	1.0	1.0	2.0
217000	2.8853263030220972	0.005767273561075416	1.0	1.0	2.0
218000	2.9474909890113468	0.013314424416457608	1.0	1.0	2.0
219000	0.9023801822255213	0.020988661718445035	1.0	1.0	2.0
220000	1.4779610738867992	0.022159670904574283	1.0	1.0	2.0
221000	2.3739900120070723	0.0025727952065562843	1.0	1.0	2.0
222000	4.5046006084456724	8.749217816794472E-4	1.0	1.0	2.0
223000	1.610797418687068	0.01218647117244646	1.0	1.0	2.0
224000	0.23190836015332267	0.0022005637806585773	1.0	1.0	2.0
225000	1.9707278997516016	0.0067752031042440375	1.0	1.0	2.0
226000	1.2265398900722022	0.00886997884310576	1.0	1.0	2.0
227000	4.9944180233362605	0.030563294361487466	1.0	1.0	2.0
228000	5.491745816648749	0.09120783103914222	1.0	1.0	2.0
229000	2.4100746684916117	0.022677491159927465	1.0	1.0	2.0
230000	1.4449735380565332	0.0012531876804907222	1.0	1.0	2.0
231000	1.1574500454224745	3.4488121656329703E-4	1.0	1.0	2.0
232000	1.91699395791435	0.011797820137947885	1.0	1.0	2.0
233000	4.164443361835713	0.07168331330290992	1.0	1.0	2.0
234000	0.6568677564164904	0.0018536651838247614	1.0	1.0	2.0
235000	2.379323121151764	0.052409313913060224	1.0	1.0	2.0
236000	3.368759178781436	0.013446533243637036	1.0	1.0	2.0
237000	0.19245095705815535	5.724720592524281E-5	1.0	1.0	2.0
238000	2.16646027777498	0.006315224539877902	1.0	1.0	2.0
239000	1.1549677777581755	0.024772007148848897	1.0	1.0	2.0
240000	2.092603681814157	0.03734931569828315	1.0	1.0	2.0
241000	1.0004679068087543	0.02546623108106901	1.0	1.0	2.0
242000	3.9872479639087453	0.10525967323601193	1.0	1.0	2.0
243000	1.3065334201606194	0.016910647192513804	1.0	1.0	2.0
244000	2.0564768231440937	0.06975882169497914	1.0	1.0	2.0
245000	0.9278358464663948	0.025025668111379924	1.0	1.0	2.0
246000	2.450754675600149	0.013399871074969772	1.0	1.0	2.0
247000	1.3432980587050332	0.017537347408747822	1.0	1.0	2.0
248000	3.6018004746485817	0.12065207362443581	1.0	1.0	2.0
249000	1.025952814212869	0.001788093219747529	1.0	1.0	2.0
250000	1.0396902856566779	0.016354409428542615	1.0	1.0	2.0
251000	5.7246283412264765	0.03998157478045975	1.0	1.0	2.0
252000	2.996383194051168	0.02961950461208493	1.0	1.0	2.0
253000	3.607398172146027	0.04538314252796293	1.0	1.0	2.0
254000	1.426895020494319	0.008460277113765553	1.0	1.0	2.0
255000	0.2217393467627547	2.6952383504628844E-4	1.0	1.0	2.0
